,nome_repositorio,linguagens
187,ml-shuffling-amplification,Python
188,ml-sigma-reparam,Python
189,ml-sigmoid-attention,Python
190,ml-slowfast-llava,Python
191,ml-space-benchmark,Python
192,ml-spatial-librispeech,
193,ml-speech-is-more-than-words,
194,ml-spin,Python
195,ml-stable-diffusion,Python
196,ml-stabledreamer,
197,ml-stuttering-events-dataset,Python
198,ml-superposition-prompting,Python
199,ml-symphony,Svelte
200,ml-synthbias,
201,ml-tada,Python
202,ml-tarflow,Python
203,ml-tic-clip,Python
204,ml-tic-lm,Python
205,ml-toad,Python
206,ml-tract,Python
207,ml-transcript-translation-consistency-ratings,
208,ml-translate-vis,TypeScript
209,ml-tree-dst,Python
210,ml-tune-mode-convbn,Python
211,ml-tweak,Python
212,ml-ui-jepa,Python
213,ml-uncertainty-llms-instruction-following,Python
214,ml-upscale,Jupyter Notebook
215,ml-uwac,Python
216,ml-veclip,Jupyter Notebook
217,ml-vfi-smiff,Python
218,ml-vfm-kt,
219,ml-vision-transformers-ane,Python
220,ml-vivid,Python
221,ml-winoidentity,
222,music-feed-examples,Java
223,openjdk,Java
224,parameterized-transforms,Python
225,password-manager-resources,JavaScript
226,pfl-research,Jupyter Notebook
227,pir-service-example,Swift
228,pkl,Java
229,pkl-evolution,
230,pkl-go,Go
231,pkl-go-examples,Go
232,pkl-intellij,Kotlin
233,pkl-jvm-examples,Groovy
234,pkl-k8s,Pkl
235,pkl-k8s-examples,Pkl
236,pkl-lang.org,JavaScript
237,pkl-lsp,Kotlin
238,pkl-neovim,Lua
239,pkl-package-docs,Kotlin
240,pkl-pantry,Pkl
241,pkl-project-commons,Pkl
242,pkl-spring,Java
243,pkl-swift,Swift
244,pkl-swift-examples,Swift
245,pkl-vscode,TypeScript
246,pkl.tmbundle,Pkl
247,pytorch-speech-features,Python
248,rules_pkl,Starlark
249,sample-backyard-birds,Swift
250,sample-cloudkit-coredatasync,Swift
251,sample-cloudkit-encryption,Swift
252,sample-cloudkit-privatedb,Swift
253,sample-cloudkit-privatedb-sync,Swift
254,sample-cloudkit-queries,Swift
255,sample-cloudkit-sharing,Swift
256,sample-cloudkit-sync-engine,Swift
257,sample-cloudkit-tooling,JavaScript
258,sample-cloudkit-zonesharing,Swift
259,sample-fbounds-safety-adoption,HTML
260,sample-food-truck,Swift
261,security-pcc,Swift
262,servicetalk,Java
263,speakstream-demo,HTML
264,swift-3-api-guidelines-review,Swift
265,swift-algorithms,Swift
266,swift-argument-parser,Swift
267,swift-asn1,Swift
268,swift-async-algorithms,Swift
269,swift-async-dns-resolver,Swift
270,swift-atomics,Swift
271,swift-binary-parsing,Swift
272,swift-cassandra-client,Swift
273,swift-certificates,Swift
274,swift-clang,C++
275,swift-clang-tools-extra,C++
276,swift-cluster-membership,Swift
277,swift-collections,Swift
278,swift-collections-benchmark,Swift
279,swift-compiler-rt,C
280,swift-container-plugin,Swift
281,swift-crypto,Assembly
282,swift-distributed-actors,Swift
283,swift-distributed-tracing,Swift
284,swift-distributed-tracing-baggage-core,Swift
285,swift-distributed-tracing-extras,Swift
286,swift-evolution-staging,Swift
287,swift-homomorphic-encryption,Swift
288,swift-homomorphic-encryption-protobuf,
289,swift-http-structured-headers,Swift
290,swift-http-types,Swift
291,swift-internals,HTML
292,swift-issues,
293,swift-libcxx,C++
294,swift-llbuild2,Swift
295,swift-lldb,C++
296,swift-llvm,LLVM
297,swift-log,Swift
298,swift-metrics,Swift
299,swift-metrics-extras,Swift
300,swift-mmio,Swift
301,swift-nio,Swift
302,swift-nio-examples,Swift
303,swift-nio-extras,Swift
304,swift-nio-http2,Swift
305,swift-nio-imap,Swift
306,swift-nio-nghttp2-support,Swift
307,swift-nio-oblivious-http,Swift
308,swift-nio-ssh,Swift
309,swift-nio-ssl,Assembly
310,swift-nio-ssl-support,Swift
311,swift-nio-transport-services,Swift
312,swift-nio-zlib-support,Swift
313,swift-ntp,Swift
314,swift-numerics,Swift
315,swift-openapi-generator,Swift
316,swift-openapi-runtime,Swift
317,swift-openapi-urlsession,Swift
318,swift-play-experimental,Swift
319,swift-protobuf,Swift
320,swift-protobuf-plugin,
321,swift-protobuf-test-conformance,
322,swift-sample-distributed-actors-transport,Swift
323,swift-service-context,Swift
324,swift-service-discovery,Swift
325,swift-standard-library-preview,Swift
326,swift-statsd-client,Swift
327,swift-string-processing-benchmarks,Swift
328,swift-system,Swift
329,swift-tools-support-async,Swift
330,swift-xcode-playground-support,Swift
331,swiftpm-on-llbuild2,Swift
332,SwiftUsd,C++
333,SwiftUsd-ast-answerer,C++
334,SwiftUsd-Tests,Swift
335,tensor-visualizer,Svelte
336,tensorflow_macos,Shell
337,ToolSandbox,Python
338,tree-sitter-pkl,Kotlin
339,turicreate,C++
340,unityplugins,C#
341,VideoFlashingReduction,Mathematica
342,visatronic-demo,HTML
343,vqg-multimodal-assistant,Python
